frameID,CellID,x-axis,y-axis,time
6,21,16,328,24
10,21,21,322,32
26,21,21,322,40
31,21,21,322,48
38,21,26,327,56
66,21,21,322,64
67,21,16,328,72
83,21,26,327,80
0,22,336,342,8
1,22,336,344,16
6,22,336,344,24
56,22,333,326,32
64,22,333,326,40
86,22,336,344,48
125,22,336,344,56
0,23,356,344,8
1,23,347,341,16
6,23,347,341,24
53,23,348,331,32
89,23,348,331,40
0,24,1026,352,8
1,24,1023,342,16
6,24,1023,342,24
29,24,1018,360,32
38,24,1023,342,40
43,24,1015,329,48
59,24,1018,360,56
61,24,1015,329,64
64,24,1006,348,72
102,24,1006,348,80
148,24,1015,329,88
163,24,1018,360,96
164,24,1027,341,104
178,24,1018,360,112
192,24,1023,342,120
197,24,1027,341,128
0,25,532,341,8
1,25,531,337,16
6,25,531,337,24
13,25,531,337,32
65,25,531,337,40
85,25,531,337,48
100,25,531,337,56
127,25,531,337,64
133,25,531,337,72
0,26,354,354,8
1,26,347,341,16
6,26,347,341,24
53,26,348,331,32
89,26,348,331,40
0,27,332,358,8
1,27,336,344,16
6,27,336,344,24
56,27,333,326,32
64,27,333,326,40
86,27,336,344,48
125,27,336,344,56
0,28,345,357,8
1,28,336,344,16
6,28,336,344,24
56,28,333,326,32
64,28,333,326,40
86,28,336,344,48
125,28,336,344,56
0,29,341,362,8
1,29,336,344,16
6,29,336,344,24
56,29,333,326,32
64,29,333,326,40
86,29,336,344,48
125,29,336,344,56
0,30,1215,366,8
1,30,1218,358,16
6,30,1218,358,24
38,30,1218,358,32
58,30,1213,397,40
73,30,1213,397,48
0,31,413,373,8
1,31,418,366,16
6,31,418,366,24
32,31,418,366,32
86,31,419,477,40
91,31,414,488,48
98,31,419,477,56
107,31,419,477,64
110,31,419,477,72
133,31,419,477,80
135,31,414,488,88
147,31,414,488,96
158,31,414,488,104
164,31,414,488,112
169,31,414,488,120
172,31,419,477,128
198,31,428,495,136
0,32,406,376,8
1,32,403,380,16
6,32,403,380,24
27,32,403,380,32
54,32,403,380,40
0,33,427,377,8
1,33,418,366,16
6,33,418,366,24
32,33,418,366,32
86,33,419,477,40
91,33,414,488,48
98,33,419,477,56
107,33,419,477,64
110,33,419,477,72
133,33,419,477,80
135,33,414,488,88
147,33,414,488,96
158,33,414,488,104
164,33,414,488,112
169,33,414,488,120
172,33,419,477,128
198,33,428,495,136
0,34,400,380,8
1,34,403,380,16
6,34,403,380,24
27,34,403,380,32
54,34,403,380,40
0,35,413,383,8
1,35,403,380,16
6,35,403,380,24
27,35,403,380,32
54,35,403,380,40
0,36,430,387,8
161,36,437,476,16
163,36,428,495,24
168,36,428,495,32
172,36,419,477,40
198,36,428,495,48
0,37,1368,388,8
1,37,1369,380,16
6,37,1369,380,24
71,37,1369,380,32
0,38,397,388,8
1,38,403,380,16
6,38,403,380,24
27,38,403,380,32
54,38,403,380,40
0,39,420,397,8
11,39,418,366,16
32,39,418,366,24
86,39,419,477,32
91,39,414,488,40
98,39,419,477,48
107,39,419,477,56
110,39,419,477,64
133,39,419,477,72
135,39,414,488,80
147,39,414,488,88
158,39,414,488,96
164,39,414,488,104
169,39,414,488,112
172,39,419,477,120
198,39,428,495,128
0,40,398,394,8
1,40,403,380,16
6,40,403,380,24
27,40,403,380,32
54,40,403,380,40
0,41,712,396,8
1,41,713,390,16
6,41,713,390,24
20,41,713,390,32
29,41,713,390,40
58,41,704,416,48
62,41,697,413,56
63,41,704,416,64
66,41,697,413,72
81,41,704,416,80
0,42,402,400,8
1,42,403,380,16
6,42,403,380,24
27,42,403,380,32
54,42,403,380,40
0,43,685,398,8
1,43,687,392,16
6,43,687,392,24
54,43,687,392,32
61,43,688,406,40
62,43,697,413,48
63,43,704,416,56
66,43,697,413,64
81,43,704,416,72
0,44,1202,396,8
0,45,1223,395,8
1,45,1213,397,16
6,45,1213,397,24
18,45,1218,358,32
38,45,1218,358,40
58,45,1213,397,48
73,45,1213,397,56
0,46,727,409,8
1,46,725,406,16
6,46,725,406,24
19,46,725,406,32
61,46,725,406,40
73,46,725,406,48
80,46,718,413,56
125,46,725,406,64
0,47,1227,407,8
2,47,1218,358,16
6,47,1218,358,24
38,47,1218,358,32
58,47,1213,397,40
73,47,1213,397,48
0,48,686,413,8
1,48,688,406,16
6,48,688,406,24
54,48,687,392,32
61,48,688,406,40
62,48,697,413,48
63,48,704,416,56
66,48,697,413,64
81,48,704,416,72
0,49,1203,414,8
1,49,1213,397,16
6,49,1213,397,24
18,49,1218,358,32
38,49,1218,358,40
58,49,1213,397,48
73,49,1213,397,56
0,50,1226,411,8
18,50,1218,358,16
38,50,1218,358,24
